The Incredible Hulk,2011,2008
Iron Man,2010,2008
Iron Man 2,2011,2010
Captain America: First Avenger,1943,2011
Thor,2011,2011
Avengers,2012,2012
Thor: The Dark World,2013,2013
Iron Man 3,2012,2013
Captain America: Winter Soldier,2014,2014
Guardians of the Galaxy,2014,2014
Ant-Man,2015,2015
Avengers: Age of Ultron,2015,2015
Dr. Strange,2017,2016
Captain America: Civil War,2016,2016
Spider-Man: Homecoming,2016,2017
Guardians of the Galaxy: Vol. 2,2014,2017
Thor: Ragnarok,2018,2017
Ant-Man and the Wasp,2018,2018
Black Panther,2016,2018
Avengers: Infinity War,2018,2018
Captain Marvel,1995,2019
